,price_display,lat,lon,item1,item2,item3,item4,item5
1,表示あり,40.7644,-73.9731185,コーヒー,ジュースなど,コールドブリューは$6,一部商品のみ表示,
2,表示なし,40.7648035,-73.9733532,ジュース,アイス,,,
3,表示あり,40.7667045,-73.9721405,ホットドッグ,アイス,ドリンク,,
4,表示あり,40.7649919,-73.9727591,チキンオーバーライス,ホットドッグなど,,,
5,表示なし,40.7686219,-73.969988,ソフトクリーム,,,,
6,表示なし,40.7897509,-73.9545841,ホットドッグ,ドリンク,,,
7,表示なし,40.7888051,-73.9552751,ホットドッグ,ドリンク,,,
8,表示なし,40.7841999,-73.9586346,ソフトクリーム,,,,
9,表示なし,40.7840111,-73.9587684,チキンオーバーライス,ホットドッグ,ドリンク,,
10,表示あり,40.7811048,-73.9608548,マンハッタンバーガー,ホットドッグ,ドリンク,,
11,表示なし,40.7821043,-73.9625751,フルーツ,,,,
12,表示なし,40.7855512,-73.9693071,ソフトクリーム,,,,
13,表示なし,40.785702,-73.9691891,スムージー,コーヒー,,,
14,表示なし,40.7895194,-73.9661146,ホットドッグ,ハンバーガー,ドリンク,,
15,表示なし,40.8003399,-73.9578675,ソフトクリーム,71と同じ店に見える,,,
16,表示なし,40.7980508,-73.9521916,スムージー,ジュース,,,
17,表示なし,40.7968355,-73.9497129,ホットドッグ,ハンバーガー,ドリンク,,
18,表示あり,40.7965551,-73.9496123,ソフトクリーム,,,,
19,表示なし,40.7807108,-73.9611733,ソフトクリーム,,,,
20,表示あり,40.7791007,-73.9623699,マンハッタンバーガー,ホットドッグ,,,
21,表示なし,40.7783941,-73.96284,チキンオーバーライス,ホットドッグなど,,,
22,表示あり,40.7772775,-73.9636922,クレープ,アイス,ともに$6,,
23,表示あり,40.7773671,-73.963588,マンハッタンバーガー,ホットドッグ,,,
24,表示あり,40.7844652,-73.9670088,ホットドッグなど軽食,アイス,②〜④は売り物,価格が同じ,若い男性が水購入
25,表示なし,40.7822244,-73.971481,ホットドッグ,チキンテンダー,ドリンク,,
26,表示なし,40.7809499,-73.9723611,ドリンク,スムージー,じいちゃんと子供が購入,,
27,表示なし,40.7809225,-73.9723836,クレープ,マカロン,コーヒー,購入者あり,
28,表示あり,40.7808654,-73.9724302,ホットドッグ,オニオンリング,ドリンク,家族が購入,
29,表示あり,40.7826321,-73.9665183,ホットドッグなど軽食,アイス,水,ベビーカーの女性がドリンク購入,
30,表示なし,40.7810474,-73.9608994,ドリンク販売,,,,
31,表示なし,40.7856152,-73.9692679,チキンオーバーライス,ホットドッグ,ドリンク,,
32,表示あり,40.7813277,-73.963535,ホットドッグなど軽食,アイス,水,近くのベンチに学生？,
33,表示なし,40.7772244,-73.9637532,スムージー,アイス,スムージー店はヒジャブ姿の女性店員のケースが多い,,
34,表示なし,40.7768776,-73.9640832,ホットドッグ,チキンオーバーライスなど,,,
35,表示なし,40.7751966,-73.9651986,チキンオーバーライス,ホットドッグ,ドリンク,,
36,表示あり,40.7726071,-73.9671536,ホットドッグ,ドリンクなど,,,
37,表示あり,40.7726728,-73.9677621,ホットドッグ,アイス,ドリンク,公園内の同じ店,
38,表示なし,40.7722681,-73.9673474,チキンオーバーライス,ホットドッグなど,,,
39,表示なし,40.7722044,-73.9674188,ジュース,,,,
40,表示なし,40.7707614,-73.9684283,チキンオーバーライス,ホットドッグなど,,,
41,表示なし,40.7691825,-73.9696628,ホットドッグ,ドリンク,,,
42,表示なし,40.7675125,-73.9709134,スムージー,ジュース,,,
43,表示なし,40.7673535,-73.9710096,チキンオーバーライス,ホットドッグなど,,,
44,表示なし,40.7654787,-73.9723242,チキンオーバーライス,ホットドッグなど,,,
45,表示なし,40.7651661,-73.9725633,ジュース,アイス,,,
46,表示なし,40.7651314,-73.972572,チキンオーバーライス,ホットドッグ,,,
47,表示なし,40.7647789,-73.9733921,チキンオーバーライス,ハンバーガーなど,,,
48,表示あり,40.7647375,-73.9734266,ホットドッグ,ハンバーガーなど,,,
49,表示なし,40.7644566,-73.9730696,ソフトクリーム,,,,
50,表示なし,40.7648078,-73.9728124,チキンオーバーライス,ホットドッグなど,,,
51,表示あり,40.7655816,-73.9731329,ホットドッグ,ドリンク,アイス,パーク内の同じ店,
52,表示なし,40.7651115,-73.9733093,チキンオーバーライス,ホットドッグなど,,,
53,表示なし,40.7650151,-73.9734545,チキンオーバーライス,ホットドッグなど,,,
54,表示なし,40.7649114,-73.9735346,ソフトクリーム,アイス,,,
55,表示あり,40.7648607,-73.973544,カフェ,コーヒー,菓子,,
56,表示なし,40.7648061,-73.9735859,ドリンク,スムージー,,,
57,表示なし,40.7647487,-73.9737267,チキンオーバーライス,ホットドッグなど,,,
58,表示あり,40.764769,-73.9738853,ソフトクリーム,,,,
59,表示なし,40.7650719,-73.9746259,ドリンク,スムージー,,,
60,表示なし,40.7651634,-73.9748422,チキンオーバーライス,ハンバーガーなど,,,
61,表示なし,40.7657047,-73.9760948,コーヒー,ドリンク,ドーナツ,クロワッサン,価格は白で空欄
62,表示なし,40.7656806,-73.9760639,チキンオーバーライス,ハンバーガーなど,,,
63,表示なし,40.7657157,-73.9761149,ホットドッグなど,,,,
64,表示なし,40.76574,-73.97619,ソフトクリーム,,,,
65,表示あり,40.7658462,-73.976421,マンハッタンバーガー,ホットドッグ,,,
66,表示なし,40.7668868,-73.9788296,ドリンク,スムージー,,,
67,表示あり,40.7669124,-73.9788765,ホットドッグ,チキンテンダーなど,価格は手書き,ホットドッグ$7,
68,表示なし,40.7670348,-73.9792685,チキンオーバーライス,ホットドッグなど,,,
69,表示なし,40.7671402,-73.9794988,ソフトクリーム,,,,
70,表示なし,40.7679289,-73.9812225,ソフトクリーム,水だけ1→$3,2→$5,,
71,表示あり,40.7681633,-73.9812218,ホットドッグ,ハンバーガー,,,
72,表示なし,40.7681445,-73.9812181,ホットドッグ,チキンオーバーライスなど,,,
73,表示なし,40.7681833,-73.9812262,ドリンク,,,,
74,表示なし,40.7682082,-73.9812322,ホットドッグなど,,,,
75,表示なし,40.7682301,-73.9812406,ホットドッグなど,,,,
76,表示なし,40.7682643,-73.9812476,チキンオーバーライスなど,,,,
77,表示あり,40.7684086,-73.9812258,カフェ,コーヒー,パン,,
78,表示なし,40.770768,-73.9797955,チキンオーバーライス,ハンバーガー,ホットドッグ,,
79,表示なし,40.7731215,-73.9780806,アイス,ドリンク,,,
80,表示なし,40.7743697,-73.9772075,アイス,ドリンク,,,
81,表示なし,40.7760205,-73.9759385,ハンバーガー,ホットドッグ,ドリンク,,
82,表示なし,40.776344,-73.9757893,ドリンク,スムージー,,,
83,表示なし,40.7795244,-73.97344,チキンオーバーライス,ケバブ,ドリンクなど,,
84,表示なし,40.7807488,-73.9725459,ホットドッグ,ハンバーガーなど,,,
85,表示なし,40.7808164,-73.9724657,チキンオーバーライス,ハンバーガー,ホットドッグなど,家族が購入,
